,Antibody
0,0.5Î³
1,10-1074
2,10-1121
3,10-1130
4,10-1146
5,10-1341
6,10-1369
7,10-259
8,10-303
9,10-410
10,10-847
11,10-996
12,10E8
13,10E8-0fH/0fL
14,10E8-0fH/4fL
15,10E8-10fH/10fL
16,10E8-10fH/16fL
17,10E8-10fH/4fL
18,10E8-19fH/10fL
19,10E8-19fH/16fL
20,10E8-2fH/0fL
21,10E8-2fH/10fL
22,10E8-2fH/4fL
23,10E8v4
24,10J4
25,10M6
26,12A12
27,12A21
28,1357
29,1361
30,1393A
31,13I10
32,15e
33,1-79
34,17b
35,1B2530
36,1F7
37,1NC9
38,2158
39,2219
40,2557
41,2558
42,2909
43,2F5
44,2G12
45,2N5
46,3019
48,35O22
49,3694
54,3906
55,3BC176
56,3BC315
57,3BNC117
59,3BNC60
60,4022
61,4025
63,447-52D
64,48d
65,49G2
66,4E10
67,4E9C
68,4O20
69,561
70,697-D
71,7B9
72,7H6
73,7K3
74,830A
75,8ANC131
76,8ANC134
77,8ANC195
78,916B2
79,917B11
80,ACS202
81,b12
82,b13
83,b6
84,BF520.1
85,BG18
86,CAP248-2B
87,CAP257-RH1
88,CH01
89,CH02
90,CH03
91,CH04
92,CH103
93,CH104
95,CH106
96,CH12
97,CH235
98,CH235.12
100,CH27
101,CH28
102,CH44
103,CH98
104,DH270.1
105,DH270.2
106,DH270.3
107,DH270.4
108,DH270.5
109,DH270.6
110,DH270.IA1
111,DH270.IA2
112,DH270.IA3
113,DH270.IA4
114,DH511.1
115,DH511.11P
116,DH511.12P
117,DH511.2
118,DH511.3
119,DH511.4
120,DH511.5
121,DH511.6
122,DH517
123,DH563
124,DRVIA7
125,F105
126,F425
128,HGN194
129,HJ16
130,HK20
131,IOMA
132,JM4
133,KD-247
134,LN01
135,m66
136,m66.6
137,MEL-1842
138,MEL-1872
139,MEL-2129
140,N49P11
141,N49P18.1
142,N49P19
143,N49P22
144,N49P23
145,N49P6
146,N49P7
147,N49P7.1
148,N49P7.2
149,N49P9
150,N49P9.1
151,N6
152,N60P1.1
153,N60P2.1
154,N60P22
155,N60P25.1
156,N60P30
157,N60P31.1
158,N60P35
159,N60P36
160,N60P37
161,N60P38
162,N60P39
163,N60P39.1
164,N60P47
165,N60P48
166,N60P51
167,NC-Cow1
168,NC-Cow10
169,NC-Cow2
170,NC-Cow3
171,NC-Cow4
172,NC-Cow5
173,NC-Cow6
174,NC-Cow7
175,NC-Cow8
176,NC-Cow9
177,NIH45-46
178,PCDN-33A
179,PCDN-38A
180,PCDN-38B
181,PCT64-18B
182,PCT64-18C
183,PCT64-18D
184,PCT64-18F
185,PCT64-24A
186,PCT64-24B
187,PCT64-24E
188,PCT64-24F
189,PCT64-24G
190,PCT64-24H
191,PCT64-35B
192,PCT64-35C
193,PCT64-35D
194,PCT64-35E
195,PCT64-35F
196,PCT64-35G
197,PCT64-35H
198,PCT64-35I
199,PCT64-35K
200,PCT64-35M
201,PCT64-35N
202,PCT64-35O
203,PCT64-35S
204,PG16
205,PG9
206,PGC14
207,PGDM11
208,PGDM12
209,PGDM1400
210,PGDM1401
211,PGDM1402
212,PGDM1403
213,PGDM1404
214,PGDM1405
215,PGDM1406
216,PGDM21
217,PGT121
218,PGT122
219,PGT123
220,PGT124
221,PGT125
222,PGT126
223,PGT127
224,PGT128
225,PGT130
226,PGT131
227,PGT135
228,PGT136
229,PGT137
230,PGT141
231,PGT142
232,PGT143
233,PGT144
234,PGT145
235,PGT151
236,PGT152
237,PGT153
238,PGT154
239,PGT155
240,PGT156
241,PGT157
242,PGT158
243,PGZL1
244,PGZL1.H4K3
245,QA013.19
246,QA013.2
247,QA013.3
248,QA013.32
249,QA013.4
250,QA013.53
251,SF10
252,SF12
253,SF2
254,SF3
255,SF5
256,SF7
257,SF8
258,vFP1.01
259,vFP16.02
260,vFP20.01
261,vFP5.01
262,vFP7.04
263,vFP7.05
264,VRC01
265,VRC01-0fH/0fL
266,VRC01.23LS
267,VRC01-30fH/10fL
268,VRC01-30fH/19fL
269,VRC01-5fH/0fL
270,VRC01-5fH/10fL
271,VRC01-5fH/6fL
272,VRC01-8fH/10fL
273,VRC01-8fH/19fL
274,VRC01-8fH/6fL
275,VRC02
276,VRC03
277,VRC06
278,VRC06b
279,VRC07
280,VRC07-523-F54-LS.v3
281,VRC07-523-W54-LS.v3
282,VRC08
286,VRC23
287,VRC23b
288,VRC24
289,VRC26.01
290,VRC26.02
291,VRC26.03
292,VRC26.04
293,VRC26.05
294,VRC26.06
295,VRC26.07
296,VRC26.08
297,VRC26.09
298,VRC26.10
299,VRC26.11
300,VRC26.12
301,VRC26.13
302,VRC26.14
303,VRC26.15
304,VRC26.16
305,VRC26.17
306,VRC26.18
307,VRC26.19
308,VRC26.20
309,VRC26.21
310,VRC26.22
311,VRC26.23
312,VRC26.24
313,VRC26.25
314,VRC26.26
315,VRC26.27
316,VRC26.28
317,VRC26.29
318,VRC26.30
319,VRC26.31
320,VRC26.32
321,VRC26.33
322,VRC34.01
323,VRC34.02
324,VRC34.03
325,VRC34.04
326,VRC34.05
327,VRC34.06
328,VRC34.07
329,VRC38.01
330,VRC38.02
331,VRC38.03
332,VRC38.04
333,VRC38.05
334,VRC38.06
335,VRC38.07
336,VRC38.08
337,VRC38.09
338,VRC38.10
339,VRC38.11
343,VRC41.01
344,VRC41.02
345,VRC-CH30
346,VRC-CH31
347,VRC-CH32
348,VRC-CH33
349,VRC-CH34
350,VRC-PG04
351,VRC-PG04b
352,VRC-PG05
353,VRC-PG19
354,VRC-PG20
355,X5
356,Y498
357,Z13
358,Z13e1
